,value
Week1,87.5
Week2,101.24
Week3,94.49
Week4,132.37
Week5,87.7
Week6,93.65
Week7,118.47
Week8,98.03
Week9,68.75
Week10,104.61
Week11,129.16
Week12,96.77
Week13,121.89
Week14,110.94
Week15,88.07
Week16,119.18
Week17,120.46
Week18,111.45
Week19,107.53
Week20,77.2
Week21,95.99
Week22,127.36
Week23,100.06
Week24,93.65
Week25,102.12
Week26,89.26
Week27,135.56
Week28,104.79
Week29,110.52
Week30,121.52
Week31,114.88
Week32,94.17
Week33,113.91
Week34,100.51
Week35,120.86
Week36,133.02
Week37,116.14
Week38,91.94
Week39,86.36
Week40,87.6
Week41,123.22
Week42,108.43
Week43,133.76
Week44,102.41
Week45,112.79
Week46,125.54
Week47,129.61
Week48,126.62
Week49,82.02
Week50,137.52
Week51,97.66
Week52,104.93
